Geography,Geographic Area Name,Total
0500000US12023,"Columbia County, Florida",65897
0500000US12027,"DeSoto County, Florida",35403
0500000US12029,"Dixie County, Florida",15065
0500000US12031,"Duval County, Florida",927234
0500000US12033,"Escambia County, Florida",299170
0500000US12035,"Flagler County, Florida",111825
0500000US12037,"Franklin County, Florida",10323
0500000US12039,"Gadsden County, Florida",42318
0500000US12041,"Gilchrist County, Florida",16858
0500000US12043,"Glades County, Florida",12452
0500000US12045,"Gulf County, Florida",12334
0500000US12047,"Hamilton County, Florida",11134
0500000US12049,"Hardee County, Florida",25098
0500000US12051,"Hendry County, Florida",40890
0500000US12053,"Hernando County, Florida",188073
0500000US12055,"Highlands County, Florida",102883
0500000US12057,"Hillsborough County, Florida",1430459
0500000US12059,"Holmes County, Florida",17711
0500000US12061,"Indian River County, Florida",155656
0500000US12063,"Jackson County, Florida",39674
0500000US12065,"Jefferson County, Florida",12409
0500000US12067,"Lafayette County, Florida",7088
0500000US12069,"Lake County, Florida",351408
0500000US12071,"Lee County, Florida",747351
0500000US12073,"Leon County, Florida",278529
0500000US12075,"Levy County, Florida",40623
0500000US12077,"Liberty County, Florida",6874
0500000US12079,"Madison County, Florida",16350
0500000US12081,"Manatee County, Florida",389240
0500000US12083,"Marion County, Florida",349250
0500000US12085,"Martin County, Florida",157211
0500000US12086,"Miami-Dade County, Florida",2667927
0500000US12087,"Monroe County, Florida",73898
0500000US12089,"Nassau County, Florida",84877
0500000US12091,"Okaloosa County, Florida",200915
0500000US12093,"Okeechobee County, Florida",38243
0500000US12095,"Orange County, Florida",1340469
0500000US12097,"Osceola County, Florida",361161
0500000US12099,"Palm Beach County, Florida",1461191
0500000US12101,"Pasco County, Florida",531191
0500000US12103,"Pinellas County, Florida",955568
0500000US12105,"Polk County, Florida",691652
0500000US12107,"Putnam County, Florida",72345
0500000US12109,"St. Johns County, Florida",252701
0500000US12111,"St. Lucie County, Florida",317808
0500000US12113,"Santa Rosa County, Florida",172800
